Response ID,Question,Answer
Krakow_20240131163604,Question 3,Krakow
Krakow_20240131163604,Question 4,admin
Krakow_20240131163604,Question 5,admin
Krakow_20240131163604,Question 6,admin
Krakow_20240131163722,Question 3,Krakow
Krakow_20240131163722,Question 4,admin
Krakow_20240131163722,Question 5,admin
Krakow_20240131163722,Question 6,admin
Response ID,Question,Answer
admin_20240131163742,Question 3,admin
admin_20240131163742,Question 4,admin
admin_20240131163742,Question 5,admin
admin_20240131163742,Question 6,admin
admin_20240131163817,Question 3,admin
admin_20240131163817,Question 4,admin
admin_20240131163817,Question 5,admin
admin_20240131163817,Question 6,admin
